Cosine Similarity: 0.6519, Euclidean Distance: 7.9883
Cosine Similarity: 0.6270, Euclidean Distance: 8.2656
Cosine Similarity: 0.7163, Euclidean Distance: 7.4219
Cosine Similarity: 0.6069, Euclidean Distance: 8.5781
Cosine Similarity: 0.6250, Euclidean Distance: 8.2422
Cosine Similarity: 0.8369, Euclidean Distance: 8.4375
Cosine Similarity: 0.5352, Euclidean Distance: 8.9297
Cosine Similarity: 0.5791, Euclidean Distance: 8.6172
Cosine Similarity: 0.5732, Euclidean Distance: 8.7656
Cosine Similarity: 0.7793, Euclidean Distance: 4.6250
Cosine Similarity: 0.8149, Euclidean Distance: 4.8867
Cosine Similarity: 0.7383, Euclidean Distance: 5.0898
Cosine Similarity: 0.7886, Euclidean Distance: 4.5391
Cosine Similarity: 0.6816, Euclidean Distance: 5.7695
Cosine Similarity: 0.7520, Euclidean Distance: 4.8828
Cosine Similarity: 0.7959, Euclidean Distance: 4.4688
Cosine Similarity: 0.6567, Euclidean Distance: 6.1445
Cosine Similarity: 0.6001, Euclidean Distance: 7.8828
Cosine Similarity: 0.6401, Euclidean Distance: 6.2578
Cosine Similarity: 0.5854, Euclidean Distance: 7.6797
Cosine Similarity: 0.6606, Euclidean Distance: 5.8047
Cosine Similarity: 0.5312, Euclidean Distance: 8.5312
Cosine Similarity: 0.7598, Euclidean Distance: 4.8008
Cosine Similarity: 0.7368, Euclidean Distance: 5.2422
Cosine Similarity: 0.7725, Euclidean Distance: 4.7852
Cosine Similarity: 0.5137, Euclidean Distance: 8.8594
Cosine Similarity: 0.7188, Euclidean Distance: 5.2773
Cosine Similarity: 0.6699, Euclidean Distance: 5.7812
Cosine Similarity: 0.7676, Euclidean Distance: 4.8906
Cosine Similarity: 0.6362, Euclidean Distance: 6.9648
Cosine Similarity: 0.6094, Euclidean Distance: 9.7500
Cosine Similarity: 0.7529, Euclidean Distance: 5.2695
Cosine Similarity: 0.8433, Euclidean Distance: 3.9707
